global_id,provenance_split,archive_split,source_dataset,scene_id,packet_directory,metadata_member,original_observation_id,quality_category,resolution,camera_px,parent_group,candidate_split,parent_present_in_locked_physical_test,selection_view_index,source,known_development_exposure
obs_015959,train,train,3RScan,dbeb4d67-faf9-2324-9960-d9db614caeff,train/obs_015959,train/obs_015959/metadata.json,obs_001,EASY,0.01,"[128,192]",3RScan:0cac766c-8d6f-2d13-8cde-44c997b5e8a7,train,True,0,3RScan,
obs_012019,train,train,3RScan,dbeb4d67-faf9-2324-9960-d9db614caeff,train/obs_012019,train/obs_012019/metadata.json,obs_003,EASY,0.01,"[128,192]",3RScan:0cac766c-8d6f-2d13-8cde-44c997b5e8a7,train,True,1,3RScan,
obs_002701,train,train,3RScan,0cac764a-8d6f-2d13-8fbd-2966f09c65d0,train/obs_002701,train/obs_002701/metadata.json,obs_006,EASY,0.01,"[128,192]",3RScan:0cac764c-8d6f-2d13-8fec-15edfc3e53ad,train,True,0,3RScan,
obs_000149,train,train,3RScan,0cac764a-8d6f-2d13-8fbd-2966f09c65d0,train/obs_000149,train/obs_000149/metadata.json,obs_001,EASY,0.01,"[128,192]",3RScan:0cac764c-8d6f-2d13-8fec-15edfc3e53ad,train,True,1,3RScan,
obs_022807,train,train,3RScan,68bae76a-3567-2f7c-8143-f70365deb0f7,train/obs_022807,train/obs_022807/metadata.json,obs_017,EASY,0.01,"[128,192]",3RScan:68bae76e-3567-2f7c-82bd-a09641695364,train,True,0,3RScan,
obs_017332,validation,train,3RScan,68bae76c-3567-2f7c-827d-373035a2d942,train/obs_017332,train/obs_017332/metadata.json,obs_006,EASY,0.01,"[128,192]",3RScan:68bae76e-3567-2f7c-82bd-a09641695364,train,True,1,3RScan,
obs_001768,train,train,3RScan,4d3d82a0-8cf4-2e04-800f-97deb20e860b,train/obs_001768,train/obs_001768/metadata.json,obs_011,LEARNABLE,0.01,"[128,192]",3RScan:4d3d829e-8cf4-2e04-8318-b76f02d91c93,train,True,0,3RScan,
obs_018122,train,train,3RScan,4d3d829e-8cf4-2e04-8318-b76f02d91c93,train/obs_018122,train/obs_018122/metadata.json,obs_014,EASY,0.01,"[128,192]",3RScan:4d3d829e-8cf4-2e04-8318-b76f02d91c93,train,True,1,3RScan,
obs_018733,train,train,3RScan,bf9a3da0-45a5-2e80-8099-e46f3ec15e14,train/obs_018733,train/obs_018733/metadata.json,obs_008,EASY,0.01,"[128,192]",3RScan:c92fb594-f771-2064-879b-cc598a9dabe5,train,True,0,3RScan,
obs_005224,validation,train,3RScan,c92fb5a7-f771-2064-8766-1200dca296ac,train/obs_005224,train/obs_005224/metadata.json,obs_002,LEARNABLE,0.01,"[128,192]",3RScan:c92fb594-f771-2064-879b-cc598a9dabe5,train,True,1,3RScan,
obs_004678,train,train,3RScan,ddc737a5-765b-241a-9cd2-c6e7a89aa43d,train/obs_004678,train/obs_004678/metadata.json,obs_020,LEARNABLE,0.01,"[128,192]",3RScan:ddc737a5-765b-241a-9cd2-c6e7a89aa43d,train,False,0,3RScan,old_train_or_checkpoint_validation
obs_001008,train,train,3RScan,ddc737a3-765b-241a-9c99-f98a3c126686,train/obs_001008,train/obs_001008/metadata.json,obs_011,LEARNABLE,0.01,"[128,192]",3RScan:ddc737a5-765b-241a-9cd2-c6e7a89aa43d,train,False,1,3RScan,old_train_or_checkpoint_validation
obs_013877,test,train,3RScan,1d233ff2-e280-2b1a-8e41-a21a6c40598a,train/obs_013877,train/obs_013877/metadata.json,obs_012,LEARNABLE,0.01,"[128,192]",3RScan:1d233ff0-e280-2b1a-8c10-2af29c344ee3,train,True,0,3RScan,old_train_or_checkpoint_validation|parent_pilot_development
