method,scope,radius,brier,nll,ece,false_safe_rate@0.8,count
constant_query_radius,event,all,0.20955755247220942,0.6083063039796343,0.06163193533817927,nan,1152
constant_query_radius,event,0,0.24831211300175937,0.6897692099647074,0.02256941795349121,nan,384
constant_query_radius,event,1,0.22665442925889367,0.6455710891053131,0.0121527761220932,nan,384
constant_query_radius,event,2,0.15370611515597518,0.48957861286888216,0.1501736119389534,nan,384
independent_bernoulli,event,all,0.18317159016927084,1.0316285873653355,0.1762424045138889,0.25,1152
independent_bernoulli,event,0,0.29676183064778644,1.4645472198708875,0.33553059895833337,0.25203252032520324,384
independent_bernoulli,event,1,0.11998367309570312,0.5765498639630549,0.12613932291666669,0.0,384
independent_bernoulli,event,2,0.1327692667643229,1.0537886782620638,0.14827473958333334,nan,384
direct_query_mlp,event,all,0.16988758349570215,0.5223821828019999,0.08912776173751391,nan,1152
direct_query_mlp,event,0,0.14907780776703514,0.47811469593974215,0.07152124443724082,nan,384
direct_query_mlp,event,1,0.19196549768155857,0.5663332620517062,0.06844314841264723,nan,384
direct_query_mlp,event,2,0.16861944503851278,0.5226985904145515,0.12741889236265364,nan,384
edge_connectivity_calibrated,event,all,0.13820770691383616,0.4493698605108771,0.1412985402350096,nan,1152
edge_connectivity_calibrated,event,0,0.16114676394317995,0.5079546477416005,0.13574119774594393,nan,384
edge_connectivity_calibrated,event,1,0.13589402557254163,0.44285496579688094,0.17368644180627063,nan,384
edge_connectivity_calibrated,event,2,0.11758233122578689,0.39729996799415,0.12389841598930386,nan,384
random_completion,event,all,0.3115168677435981,2.2620892365701746,0.31191677517361116,0.453125,1152
random_completion,event,0,0.4348195393880208,2.8923872145222163,0.4326171875,0.453125,384
random_completion,event,1,0.3202025095621745,1.461536021286345,0.32368977864583337,nan,384
random_completion,event,2,0.17952855428059897,2.4323444739019626,0.179443359375,nan,384
deterministic_threshold,event,all,0.14583333333333334,2.0147628105351614,0.14583333333333331,0.1796875,1152
deterministic_threshold,event,0,0.171875,2.3745417052737268,0.171875,0.125,384
deterministic_threshold,event,1,0.1171875,1.6190060263232564,0.1171875,0.125,384
deterministic_threshold,event,2,0.1484375,2.050740700008501,0.1484375,0.4166666666666667,384
correlated_decoder_no_reachability,event,all,0.166290283203125,0.46132705215772973,0.021891276041666675,nan,1152
correlated_decoder_no_reachability,event,0,0.24929173787434897,0.691705591495662,0.03751627604166667,nan,384
correlated_decoder_no_reachability,event,1,0.15498669942220053,0.43064217764683516,0.024047851562499997,nan,384
correlated_decoder_no_reachability,event,2,0.09459241231282552,0.26163338733069197,0.023640950520833336,nan,384
PathRel_correlated_event,event,all,0.10237269931369358,0.3249685586516723,0.032484266493055546,0.14741035856573706,1152
PathRel_correlated_event,event,0,0.14555867513020834,0.4699102681931553,0.0537109375,0.14925373134328357,384
PathRel_correlated_event,event,1,0.0956268310546875,0.3031875012020157,0.031901041666666664,0.14457831325301204,384
PathRel_correlated_event,event,2,0.06593259175618489,0.201807906559846,0.0216064453125,0.14705882352941177,384
