paper,version,table,method,split,samples,metric,mean,reported_std,sample_selection,direct_conpath_ranking_allowed,source_url,dispersion_scope
FlatLands,2603.16016v3,3,All-Obstacle,ID,1,UMR,0.661,0.229,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,All-Obstacle,ID,1,IoU,0.0,0.0,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,All-Obstacle,ID,1,F1,0.0,0.0,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,All-Obstacle,OOD_ScanNetPP,1,UMR,0.854,0.155,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,All-Obstacle,OOD_ScanNetPP,1,IoU,0.0,0.0,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,All-Obstacle,OOD_ScanNetPP,1,F1,0.0,0.0,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,All-Floor,ID,1,UMR,0.339,0.229,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,All-Floor,ID,1,IoU,0.661,0.229,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,All-Floor,ID,1,F1,0.737,0.21,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,All-Floor,OOD_ScanNetPP,1,UMR,0.146,0.155,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,All-Floor,OOD_ScanNetPP,1,IoU,0.854,0.155,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,All-Floor,OOD_ScanNetPP,1,F1,0.912,0.116,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,NN Prop.,ID,1,UMR,0.243,0.078,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,NN Prop.,ID,1,IoU,0.62,0.219,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,NN Prop.,ID,1,F1,0.708,0.202,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,NN Prop.,OOD_ScanNetPP,1,UMR,0.198,0.156,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,NN Prop.,OOD_ScanNetPP,1,IoU,0.779,0.186,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,NN Prop.,OOD_ScanNetPP,1,F1,0.861,0.143,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,Uniform Rand.,ID,1,UMR,0.501,0.002,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,Uniform Rand.,ID,1,IoU,0.367,0.104,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,Uniform Rand.,ID,1,F1,0.516,0.128,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,Uniform Rand.,OOD_ScanNetPP,1,UMR,0.502,0.003,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,Uniform Rand.,OOD_ScanNetPP,1,IoU,0.453,0.057,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,Uniform Rand.,OOD_ScanNetPP,1,F1,0.621,0.064,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,U-Net,ID,1,UMR,0.122,0.03,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,U-Net,ID,1,IoU,0.763,0.132,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,U-Net,ID,1,F1,0.843,0.098,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,U-Net,OOD_ScanNetPP,1,UMR,0.114,0.111,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,U-Net,OOD_ScanNetPP,1,IoU,0.87,0.136,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,U-Net,OOD_ScanNetPP,1,F1,0.924,0.094,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,PConv-UNet,ID,1,UMR,0.126,0.033,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,PConv-UNet,ID,1,IoU,0.758,0.132,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,PConv-UNet,ID,1,F1,0.838,0.098,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,PConv-UNet,OOD_ScanNetPP,1,UMR,0.114,0.113,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,PConv-UNet,OOD_ScanNetPP,1,IoU,0.87,0.139,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,PConv-UNet,OOD_ScanNetPP,1,F1,0.924,0.097,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,LaMa,ID,1,UMR,0.209,0.059,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,LaMa,ID,1,IoU,0.623,0.161,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,LaMa,ID,1,F1,0.734,0.131,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,LaMa,OOD_ScanNetPP,1,UMR,0.283,0.159,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,LaMa,OOD_ScanNetPP,1,IoU,0.672,0.19,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,LaMa,OOD_ScanNetPP,1,F1,0.787,0.153,single_output,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,LaMa-Ens.,ID,4,UMR,0.105,0.099,oracle_best_of_K,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,LaMa-Ens.,ID,4,IoU,0.817,0.205,oracle_best_of_K,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,LaMa-Ens.,ID,4,F1,0.882,0.154,oracle_best_of_K,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
FlatLands,2603.16016v3,3,LaMa-Ens.,OOD_ScanNetPP,4,UMR,0.107,0.094,oracle_best_of_K,False,https://arxiv.org/html/2603.16016v3,Paper-reported mean/std; not assumed to be3 independent training repeats.
